location,lat,lon,dist_to_school_km,dist_to_hospital_km,dist_to_transit_km
CR Layout,12.874911,77.6107073,0.7466630467587314,0.6774773968578971,0.27712420897673634
CV Raman Nagar,12.9855509,77.668072,0.5135454893207373,0.27244649864545006,0.4525172465285159
Cambridge  road,12.9709964,77.6278632,0.11141561160661842,0.08698102099094975,0.5185905655545889
Cambridge Layout,13.0076481,77.7258907,1.6055709066241883,1.0518070935454067,0.45180773613864855
Canara Bank Colony,12.9311905,77.5908939,0.20184427609682268,0.22860915843370277,0.2501329260949014
Canara Bank Layout,13.068572,77.5783554,1.4030291364721061,0.282615692660948,0.6704528486077594
Carmelaram,12.9111998,77.7065133,0.8970592729107723,0.0897244886914631,0.25942254831494643
Celebrity Paradise Layout,12.8481732,77.6531976,0.2834333164570384,0.3428747453422625,0.5446757822290902
Challaghatta,12.9451006,77.651534,1.9013960518729713,1.1061002147711898,0.34900622775381823
Chambenahalli,12.8886379,77.7662379,,1.1275818655972858,1.1384566452727094
Chamrajpet,12.9584184,77.5629161,0.2021873801310553,0.044182281394017905,0.189805510215629
Chamundi Nagar,13.0341222,77.5993048,0.33333893145980714,0.4266749316887104,0.00869127876810866
Chandapura,12.8009043,77.7114908,2.2049248881111088,0.129175824605253,0.25171878856699287
Chandra Layout,12.955333,77.5238903,0.7238562311077406,0.3231000193871265,0.18060977594413463
Channasandra,12.9872969,77.7538838,0.9235320000709579,0.48368894159303166,0.09233440823520721
Channasandra Layout,12.9847239,77.751479,0.5767715358810441,0.15813729133830606,0.04669972689649249
Chickpet,12.9563732,77.7454891,0.7294015250545118,0.32769582252371304,0.02899216376209559
Chikka Banaswadi,13.0057413,77.6508239,0.27818412478288496,0.5386990498980748,0.32078649558435773
Chikkaballapur,13.0993764,77.388729,0.20618013909754257,0.27869654328786414,0.2479211139129111
Chikkabettahalli,13.0894554,77.556171,1.4634624125780082,0.4172179090115826,
Chikkabidarakallu,13.0523616,77.4879154,2.138947769989996,1.7980967428762735,0.02004182665314377
Chikkadunnasandra,12.8501962,77.7742942,0.8961240453293158,1.9348256878293713,1.3324426471134259
Chikkagubbi,13.0822582,77.6616026,2.640390401043137,2.8387281253874304,0.5481236430771734
Chikkajala,13.1679234,77.6372834,,1.0123183077499143,0.39205047545928107
