location,lat,lon,dist_to_school_km,dist_to_hospital_km,dist_to_transit_km,location_price
Keshava Nagar,12.9598176,77.5335655,0.2321090363917142,0.0,0.156527057587764,0.08239947264337508
RMV Extension,13.0356488,77.574775,0.4608208820850388,0.0575738931792843,0.1673418787107752,0.05214723926380368
Tejaswini Nagar,12.8601269,77.6053051,0.4819241757440126,0.6049529198224654,0.6210184176952032,0.045464725643896975
Jai Bheema Nagar,12.9194294,77.6169759,0.1093159359689842,0.3309250665921279,0.0086774698945922,0.044347238521995805
CV Raman Nagar,12.9855509,77.668072,0.5135454893207373,0.27244649864545,0.4525172465285159,0.05099276337321357
Hebbal Kempapura,13.050194,77.6075951,0.4143675043809562,0.4209503422252091,0.2082493790267141,0.09117647058823529
Vijayanagar,12.9709537,77.5373851,0.1628118786278103,0.0476913123762571,0.0021055621507858,0.06657184682109585
8th block Koramangala,12.9287596,77.6287122,0.6719239127411085,0.27244649864545,0.1725955228275265,0.16251354279523295
Jakkuru Layout,13.0763895,77.6057269,2.1604536679678006,0.5649504594747153,0.1027976739253339,0.045
Pattandur Agrahara,12.9876393,77.7377718,0.851841059365923,0.6283640539606055,0.0687572895657852,0.05
Ejipura,12.945245,77.6274776,0.1528011289535298,0.5929921369418859,0.2084721331519055,0.06594202898550725
HSR Layout,12.9116225,77.6388622,0.3759611716599876,0.3075278370674322,0.1294634386203708,0.048913662149086476
Nagasandra,13.0479536,77.5001422,2.612262659107349,0.4899815963505483,0.1954930421846646,0.06659287531806615
Langford Town,12.957998,77.6037312,0.2655519170530348,0.8272948084593617,0.2657066140212644,0.08081261733669969
Kogilu,13.1067228,77.6173956,2.098973134389521,1.224796341356449,0.2827542119610424,0.04443929824561403
Panathur,12.9351457,77.7047541,1.3522923878737512,0.1539823729039149,0.1818633163630239,0.06294820717131475
Nagondanahalli,12.97516,77.7703403,0.7765513150713883,2.070051434549789,0.1112334976615704,0.04065763441937342
Padmanabhanagar,12.9181024,77.5576638,0.1605013055041436,0.2009372214712971,0.0593123300630777,0.061764705882352944
1st Block Jayanagar,12.9182966,77.5741528,0.6719239127411085,0.27244649864545,0.1725955228275265,0.11983805668016194
Kammasandra,13.079198,77.7136366,0.6719239127411085,0.27244649864545,0.9154375970634976,0.03517331266732422
"Off Sarjapur Road,",12.9098432,77.6878366,1.1331386661798992,0.5618084014786834,0.239922303159473,0.050818260120585705
Dasarahalli,13.0432607,77.5125535,1.7313182787652242,0.1543951359317859,0.0600736666773163,0.05081967213114754
Magadi Road,12.975608,77.5553564,0.2292305088560362,0.1713099652467612,0.0027054036356794,0.046499578770008425
Ngef Layout,12.9592694,77.5093895,0.9305482872424012,0.2047945012860093,0.1064009151565139,0.1125618374558304
Koramangala,12.9357366,77.624081,0.2675297796352062,0.1653487625354119,0.1165363339309041,0.08865566037735849
Dommasandra,12.8777098,77.7534769,0.6719239127411085,0.1934770482984424,0.1921957340920323,0.0317133202902806
Budigere,13.1424106,77.7340989,0.6719239127411085,1.274730303566862,0.5223279199956383,0.0499540018399264
Mylasandra,12.9160293,77.497544,1.0498796000124415,1.0161892069486165,0.7629386641427629,0.04954954954954955
Kalyan nagar,13.0221416,77.6403368,0.8968727819698661,0.0721067887798438,0.3293062580064786,0.05425709515859766
Bank Of Baroda Colony,12.893481,77.5837404,0.6719239127411085,0.27244649864545,0.1725955228275265,0.13703703703703704
Ashwath Nagar,12.9619639,77.6988922,0.6719239127411085,0.27244649864545,0.1725955228275265,0.05121951219512195
Ncpr Industrial Layout,12.9859833,77.7128318,0.6052882179814117,0.7155544153890304,0.3342269754954433,0.05642023346303502
OMBR Layout,13.0082113,77.652778,0.5757179210946703,0.2297794950557985,0.0418216000410688,0.06160855749163695
Anand Nagar,13.0346991,77.5944561,0.6719239127411085,0.27244649864545,0.1725955228275265,0.1393195512977727
Kundalahalli Colony,12.9706554,77.7115645,0.4773438374284263,0.5845185438367684,0.0965078663312472,0.05390625
Horamavu Agara,13.0367725,77.6549479,1.3326673210533737,0.6812113408996388,2.8986046010866473,0.03847918171503653
MCECHS  layout,13.0725802,77.6152451,2.4234851466555427,1.2674877205147277,0.4600851017448817,0.043333333333333335
Coffee Board Layout,13.0503251,77.6060803,0.2732342094256822,0.3240429212688466,0.2386492320520988,0.051473891715949203
Ambedkar Nagar,12.9798531,77.7541055,0.6719239127411085,0.27244649864545,0.1725955228275265,0.06564006771350184
Attibele,12.7751249,77.7709216,0.6719239127411085,0.27244649864545,0.1725955228275265,0.03817252510760402
KUDLU MAIN ROAD,12.8921814,77.6483362,0.4662258461567119,0.4024894754645247,0.2914893179977559,0.03825136612021858
Geleyara Balaga Layout,13.0712823,77.5061497,1.3196191264965649,0.6169430439591516,0.0200894703521156,0.03702780441035475
Sundara Nagar,12.97293,77.6151399,0.5478699206392824,0.4827205252609569,0.1632562964907549,0.12222222222222222
Balagere,12.9377243,77.7280705,0.6719239127411085,0.27244649864545,0.1725955228275265,0.06389757024236296
Jigani,12.7764978,77.6326204,0.6719239127411085,0.4225690249010627,1.1974502221048098,0.05323505323505324
Srirampura,12.9964948,77.5632993,0.7182505424304229,0.4316586186751059,0.0116636461960966,0.07967380410022779
Old Madras Road,13.0069152,77.6882534,0.3938088976754101,0.4502325198385685,0.3637607340242174,0.05717131474103586
Kaggadasapura,12.9812262,77.6745845,0.646798793911414,0.3209877806589806,0.5136258206317895,0.043
Silver Springs Layout,12.9582324,77.7098778,0.5416231226369274,0.163594859091487,0.2261984301205017,0.04280795355724258
9th Phase JP Nagar,12.9110032,77.5788747,0.6719239127411085,0.27244649864545,0.1725955228275265,0.048109965635738834
Jakkur,13.0784743,77.6068938,2.422881161415774,0.8241615020057301,0.1216825084790213,0.061969914040114614
TC Palaya,13.0105743,77.6932572,0.9563849880311064,0.0610133292415858,0.2371431196940018,0.055
Maruthi Sevanagar,13.0027048,77.6346165,1.2297231287104318,0.0809281961695375,0.7840691543795879,0.08984375
RMV 2nd Stage,13.0360109,77.5695288,1.0285946577403429,0.2301682947753185,0.2479091799370716,0.1351625213843927
Singasandra,12.8787382,77.642089,0.4935818479119592,0.3720611817357301,0.3575757014792725,0.04749787955894826
AECS Layout,12.964118,77.7130369,0.6719239127411085,0.27244649864545,0.1725955228275265,0.05092592592592592
Mallasandra,13.0548302,77.5155741,2.4592409808990885,0.6787299500957701,0.5584357386846475,0.052198198198198195
Begur,12.8633887,77.6130112,0.5668539393216505,1.0187460727697344,0.5900174913274432,0.045801393955468214
JP Nagar,12.9096941,77.5866067,0.5538147890196375,0.2826771451243934,0.0885996194616161,0.05466666666666667
Malleshpalya,12.9744129,77.6743533,0.6633319534919848,0.1248387878290171,0.4079732980149955,0.04752851711026616
Kodathi,12.8905129,77.7133427,1.29729958960531,2.3827254204468664,0.9617959040402824,0.03049370764762827
Kaval Byrasandra,13.0200235,77.6092887,0.948370139736374,0.2754779248766035,0.1735195109508546,0.051594746716697934
Kaggalipura,12.8089587,77.5097006,0.6719239127411085,0.4895602234017572,0.3374796360046919,0.05381602587136184
Basavanna Nagar,12.9887336,77.7204129,0.6719239127411085,0.27244649864545,0.1725955228275265,0.05990986269783041
6th Phase JP Nagar,12.9071324,77.5734008,0.6719239127411085,0.27244649864545,0.1725955228275265,0.06779661016949153
Ulsoor,12.9778793,77.6246697,0.2747246798005799,0.2203640102478505,0.259114414778001,0.09411764705882353
Thigalarapalya,13.0170955,77.4829741,2.7577846097606304,0.9131005867298166,0.1725955228275265,0.07380609532248877
T.C PALYA,13.0160374,77.6910921,1.117556458024879,0.6212843141256551,0.7506781153970944,0.06097560975609756
Muneshwara Nagar,13.0052451,77.7132511,1.368722120086676,0.1374082596602313,0.3734792288684772,0.04066604127579737
Basaveshwara Nagar,12.9932739,77.5388099,0.6719239127411085,0.27244649864545,0.1725955228275265,0.08558479532163743
Bull Temple Road,12.954905,77.5674402,0.3948393829383012,0.0218025043427558,0.1745971414578207,0.05400430570505921
Bommasandra,12.8160161,77.6892217,2.992311219891365,1.0929517272984866,0.3785562442633366,0.03929173508483853
Prashanth Nagar,12.9776188,77.5313254,0.2680808656145407,0.1809433208006084,0.2068048453442681,0.14814814814814814
Ardendale,13.0261749,77.766388,0.6719239127411085,0.27244649864545,0.1725955228275265,0.05718954248366013
Harlur,12.9058923,77.675465,2.1541483626810844,0.150202076794886,0.123281214930083,0.06643952299829642
Sampigehalli,13.0805925,77.6291328,2.136854014436101,0.6635562954949952,0.5155175223891835,0.050833333333333335
RMV,13.0360109,77.5695288,1.0285946577403429,0.2301682947753185,0.2479091799370716,0.19125
Bagalur Main Road,13.1302377,77.6664452,0.6719239127411085,0.27244649864545,0.1725955228275265,0.08333333333333333
Kodihalli,12.9635497,77.6460411,0.2641434516488122,0.2476718382881742,0.4051581314440208,0.104
Narayanapura,13.0716969,77.6193949,2.286663153661873,1.474189882653001,0.1725955228275265,0.057276198557488334
Bannerghatta Road,12.9426506,77.6027253,0.6719239127411085,0.27244649864545,0.1725955228275265,0.054708520179372194
Hennur,13.037077,77.6413572,0.3170708393967492,0.0449268208608158,0.0553197745235349,0.045816733067729085
5th Phase JP Nagar,12.9010682,77.5859397,0.6719239127411085,0.27244649864545,0.1725955228275265,0.049999999999999996
Gopalapura,12.9806131,77.5581149,0.1762480131601675,0.2662074903966074,0.5972415611463467,0.12381714818800962
