location,lat,lon
Bommasandra Industrial Area,12.8137512,77.6953367
Bommenahalli,13.0742536,77.7465943
Brigade Road,12.967408,77.6065277
Brindavan Layout,12.9683656,77.7606342
Brindavan Nagar,12.9741269,77.6086454
Brooke Bond First Cross,,
Brookefield,12.9652094,77.717936
Budigere,13.1424106,77.7340989
Bull Temple Road,12.954905,77.5674402
Byadarahalli,12.9779094,77.484086
Byagadadhenahalli,,
Byappanahalli,12.9899416,77.6534298
Byatarayanapura,13.068322,77.591006
Byrasandra,12.9295931,77.581181
Byrasandra Extension,,
Byrathi Village,,
CHIKKATIRUPATHI,,
CMH Road,12.9782612,77.6354958
CQAL LAYOUT C BLOCK,,
CQAL Layout,13.0636348,77.5832498
CR Layout,12.874911,77.6107073
CV Raman Nagar,12.9855509,77.668072
Cambridge  road,12.9709964,77.6278632
Cambridge Layout,13.0076481,77.7258907
Canara Bank Colony,12.9311905,77.5908939
Canara Bank Layout,13.068572,77.5783554
Carmelaram,12.9111998,77.7065133
Celebrity Paradise Layout,12.8481732,77.6531976
Chaitanya Ananya,,
Challaghatta,12.9451006,77.651534
Chambenahalli,12.8886379,77.7662379
Chamrajpet,12.9584184,77.5629161
Chamundi Nagar,13.0341222,77.5993048
Chandapura,12.8009043,77.7114908
Chandra Layout,12.955333,77.5238903
Channasandra,12.9872969,77.7538838
Channasandra Layout,12.9847239,77.751479
Chelekare,,
Chellikere,,
Chennammana Kere,,
Chennammanakere Achukattu,,
Chennappa Layout,,
Chickpet,12.9563732,77.7454891
Chikbasavanapura,,
Chikka Banaswadi,13.0057413,77.6508239
Chikka Tirupathi,,
Chikkaballapur,13.0993764,77.388729
Chikkabanavar,,
Chikkabettahalli,13.0894554,77.556171
Chikkabidarakallu,13.0523616,77.4879154
Chikkadunnasandra,12.8501962,77.7742942
Chikkagubbi,13.0822582,77.6616026
Chikkajala,13.1679234,77.6372834
Chikkakannalli,12.893703,77.7081315
Chikkalasandra,12.9121916,77.5476337
Chikkanahalli,12.9058433,77.6202731
Chikkasandra,13.0963679,77.7047925
Chikkathoguru,12.8638459,77.653398
Chikku Lakshmaiah Layout,12.9350706,77.6116041
Chinnapanahalli,12.9661219,77.7071156
Chokkahalli,,
Chokkanahalli,13.0850788,77.6263539
Chokkasandra,13.0405342,77.5112239
Cholanayakanahalli,13.0364498,77.5975272
Choodasandra,12.8883623,77.6799727
Chowdeshwari Layout,13.0613342,77.6420881
Chuchangatta Colony,,
Church Street,12.9746938,77.6525547
Ckikkakammana Halli,,
Classic Paradise Layout,12.8718404,77.6442373
Cleveland Town,12.9940417,77.6116055
Coconut Garden,12.9610387,77.5190523
Coconut Grove Layout,,
Coffee Board Layout,13.0503251,77.6060803
Cooke Town,13.0021998,77.6251814
Cottonpet,12.9680234,77.567984
Cox Town,12.9934858,77.6251081
Craig Park Layout,12.9713834,77.6158386
Crimson Layout,12.9799554,77.7109706
Cubbon Road,12.9761948,77.6115591
Cunningham Road,12.9857312,77.5960537
D Group Employees Layout,12.9777008,77.4987763
D Souza Layout,12.9696296,77.5968003
DUO Layout,12.869333,77.6403046
Daadys Gaarden Layout,,
Dairy Circle,12.9371279,77.6017492
Dasanapura,12.7467724,77.7742876
Dasappa Layout,13.0828573,77.6491865
Dasarahalli,13.0432607,77.5125535
Deepanjali Nagar,12.9520466,77.5370399
Defence Colony,12.976171,77.6435315
Defence Layout,13.0598706,77.5851779
Dena Bank Colony,12.9600676,77.6447244
Devanahalli,13.142344,77.7339688
Devanahalli Int. Airport,,
Devanahalli Road,13.1424106,77.7340989
Devara Jeevanahalli,,
Devarabeesana Halli,,
Devarabisanahalli,12.9234847,77.6869662
Devarachikkanahalli,12.8931539,77.6219724
Devasandra Extension,13.0219498,77.5722288
Devasthanagalu,,
Devi Nagar,13.0161096,77.5288243
Dhanalakshmi Layout,12.9724999,77.651454
Dinnur,13.0268586,77.5985884
Divya Unnathi Layout,,
Doctor Layout Rayasandra,,
Doctors Layout,13.0053365,77.6581854
Dodda Banaswadi,13.0129976,77.6493207
Dodda Kempaiah Layout,13.0362652,77.6710325
Dodda Nekkundi,12.9725581,77.692858
Dodda Nekkundi Extension,,
Doddaballapur,13.1112249,77.5798813
